id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1087822558,1087822558,2008-12-31 03:55:16 PST,2008-12-31,03:55:16,-0700,6245102,perlnews,perl news,,"Journals: Tests, Technical Debt, and Christmas Holidays  http://use.perl.org/~Ovid/journal/38189",en,[],[],[],0,0,0,[],[],https://twitter.com/perlnews/status/1087822558,False,,0,,,,,,,,[],,,,
1081703005,1081703005,2008-12-27 18:46:44 PST,2008-12-27,18:46:44,-0700,14429763,falkayn,Angus McDonald #BlackLivesMatter,,Reading Ron Jeffries' Technical Debt post  http://bit.ly/642F and considering whether to strangle our main app  http://bit.ly/7IE4,en,[],[],[],0,0,0,[],[],https://twitter.com/Falkayn/status/1081703005,False,,0,,,,,,,,[],,,,
1067774495,1067774495,2008-12-19 12:14:36 PST,2008-12-19,12:14:36,-0700,14216681,financialpost,Financial Post,,"FP blog: RBC downgrades subordinated debt of TD, Sun Life and Great-West  http://tinyurl.com/4m9j9x",en,[],[],[],0,0,0,[],[],https://twitter.com/financialpost/status/1067774495,False,,0,,,,,,,,[],,,,
1067555479,1067555479,2008-12-19 10:15:50 PST,2008-12-19,10:15:50,-0700,6418032,jack_beitz,Jack.,,getting ready to dig into Mr. CIMMY's White Paper - Technical Debt in the xxxxxxx Codebase 2nd Edition by Jon Moore,en,[],[],[],0,0,0,[],[],https://twitter.com/Jack_Beitz/status/1067555479,False,,0,,,,,,,,[],,,,
1067331213,1067331213,2008-12-19 08:24:59 PST,2008-12-19,08:24:59,-0700,14610686,razvanh,Răzvan,,RT @hellogerard New post: Technical Debt: Eventually The Man Will Collect: I first heard the term technical ...  http://tinyurl.com/5xgt3a,en,"[{'screen_name': 'hellogerard', 'name': 'ça c’est gégé', 'id': '1353309256439787530'}]",[],[],0,0,0,[],[],https://twitter.com/razvanh/status/1067331213,False,,0,,,,,,,,[],,,,
1067322389,1067322389,2008-12-19 08:20:44 PST,2008-12-19,08:20:44,-0700,752353,aaronforgue,Aaron Forgue,,Retweeting @hellogerard: Technical Debt: Eventually The Man Will Collect  http://tinyurl.com/5xgt3a,en,"[{'screen_name': 'hellogerard', 'name': 'ça c’est gégé', 'id': '1353309256439787530'}]",[],[],0,0,0,[],[],https://twitter.com/aaronforgue/status/1067322389,False,,0,,,,,,,,[],,,,
1067313426,1067313426,2008-12-19 08:16:25 PST,2008-12-19,08:16:25,-0700,8758162,spacejammit,Gerard Sychay,,New post: Technical Debt: Eventually The Man Will Collect: I first heard the term technical debt when I..  http://tinyurl.com/5xgt3a,en,[],[],[],0,0,0,[],[],https://twitter.com/spacejammit/status/1067313426,False,,0,,,,,,,,[],,,,
1065523804,1065523804,2008-12-18 11:15:05 PST,2008-12-18,11:15:05,-0700,17873294,diana_newswise,Diana Brewster,,Martin Fowler on Technical Debt:  http://www.martinfowler.com/bliki/TechnicalDebt.html Cost/benefit of quick + dirty vs. longer + cleaner,en,[],[],[],0,0,0,[],[],https://twitter.com/diana_newswise/status/1065523804,False,,0,,,,,,,,[],,,,
1063677683,1063677683,2008-12-17 13:59:08 PST,2008-12-17,13:59:08,-0700,1737,coty,Coty Rosenblath,,Staring into the gaping maw of technical debt.,en,[],[],[],0,0,0,[],[],https://twitter.com/Coty/status/1063677683,False,,0,,,,,,,,[],,,,
1062040640,1062040640,2008-12-16 19:18:55 PST,2008-12-16,19:18:55,-0700,7445692,lattex,Jon Limjap 🇵🇭,,Technical Debt: Having to refactor everything NOW when you DON'T have time instead of earlier. Glorified term for procrastination.,en,[],[],[],0,0,0,[],[],https://twitter.com/LaTtEX/status/1062040640,False,,0,,,,,,,,[],,,,
